run_ts,provider,query_class,query,attempt,latency_ms,http_status,success,n_organic,fields_complete_pct,error
2026-09-12T22:46:15+00:00,zenserp,shopping,best running shoes for flat feet,2,1220.5,500,False,0,0.0,HTTP 500: HTTP Error 500: Internal Server Error
2026-09-12T22:46:16+00:00,zenserp,shopping,macbook air m3 price,1,313.5,500,False,0,0.0,HTTP 500: HTTP Error 500: Internal Server Error
2026-09-12T22:46:16+00:00,zenserp,shopping,macbook air m3 price,2,246.7,500,False,0,0.0,HTTP 500: HTTP Error 500: Internal Server Error
2026-09-12T22:48:58+00:00,scraperapi,navigational,apple inc,1,2389.7,200,True,8,100.0,
2026-09-12T22:49:00+00:00,scraperapi,navigational,apple inc,2,2478.6,200,True,8,100.0,
2026-09-12T22:49:06+00:00,scraperapi,navigational,github,1,5748.0,200,False,4,100.0,
2026-09-12T22:49:09+00:00,scraperapi,navigational,github,2,2501.1,200,False,4,100.0,
2026-09-12T22:49:16+00:00,scraperapi,navigational,minnesota department of health,1,7094.3,200,True,6,100.0,
2026-09-12T22:49:19+00:00,scraperapi,navigational,minnesota department of health,2,3014.9,200,True,6,100.0,
2026-09-12T22:49:21+00:00,scraperapi,navigational,smashing magazine,1,1693.4,200,True,9,100.0,
2026-09-12T22:49:26+00:00,scraperapi,navigational,smashing magazine,2,4469.6,200,True,8,100.0,
2026-09-12T22:49:35+00:00,scraperapi,informational_short,weather minneapolis,1,8922.9,200,True,10,100.0,
2026-09-12T22:49:53+00:00,scraperapi,informational_short,weather minneapolis,2,18059.1,200,True,9,100.0,
2026-09-12T22:49:56+00:00,scraperapi,informational_short,how tall is everest,1,1793.9,200,True,6,100.0,
2026-09-12T22:49:59+00:00,scraperapi,informational_short,how tall is everest,2,3218.1,200,True,6,100.0,
2026-09-12T22:50:02+00:00,scraperapi,informational_short,python string split,1,3349.5,200,True,8,100.0,
2026-09-12T22:50:05+00:00,scraperapi,informational_short,python string split,2,2711.6,200,True,8,100.0,
2026-09-12T22:50:07+00:00,scraperapi,informational_short,what time is it in japan,1,1579.5,200,True,10,100.0,
2026-09-12T22:50:14+00:00,scraperapi,informational_short,what time is it in japan,2,6574.5,200,True,10,100.0,
2026-09-12T22:50:23+00:00,scraperapi,local,coffee shop 55401,1,8403.1,200,True,8,100.0,
2026-09-12T22:50:24+00:00,scraperapi,local,coffee shop 55401,2,1863.2,200,True,9,100.0,
2026-09-12T22:50:29+00:00,scraperapi,local,hardware store near me,1,4131.0,200,True,9,100.0,
2026-09-12T22:50:32+00:00,scraperapi,local,hardware store near me,2,3350.4,200,True,9,100.0,
2026-09-12T22:50:35+00:00,scraperapi,local,plumber 55404,1,1919.5,200,True,9,100.0,
2026-09-12T22:50:44+00:00,scraperapi,local,plumber 55404,2,9456.7,200,True,9,100.0,
2026-09-12T22:50:52+00:00,scraperapi,local,minneapolis tattoo shops,1,7379.0,200,True,8,100.0,
2026-09-12T22:50:54+00:00,scraperapi,local,minneapolis tattoo shops,2,1811.2,200,True,9,100.0,
2026-09-12T22:50:56+00:00,scraperapi,longtail_question,can you file taxes late without a penalty,1,1568.2,200,True,7,100.0,
2026-09-12T22:51:05+00:00,scraperapi,longtail_question,can you file taxes late without a penalty,2,9240.8,200,True,7,100.0,
2026-09-12T22:51:10+00:00,scraperapi,longtail_question,how long does a bank transfer take,1,5128.5,200,True,8,100.0,
2026-09-12T22:51:16+00:00,scraperapi,longtail_question,how long does a bank transfer take,2,5768.4,200,True,8,100.0,
2026-09-12T22:51:47+00:00,scraperapi,longtail_question,why is my mac fan so loud,1,30103.3,0,False,0,0.0,HTTP 0: The read operation timed out
2026-09-12T22:51:49+00:00,scraperapi,longtail_question,why is my mac fan so loud,2,1999.8,200,True,8,100.0,
2026-09-12T22:51:51+00:00,scraperapi,longtail_question,does cold weather kill car batteries,1,1535.3,200,True,8,100.0,
2026-09-12T22:51:53+00:00,scraperapi,longtail_question,does cold weather kill car batteries,2,1868.5,200,True,8,100.0,
2026-09-12T22:51:56+00:00,scraperapi,shopping,best noise cancelling headphones under 200,1,3492.8,200,True,7,100.0,
2026-09-12T22:52:10+00:00,scraperapi,shopping,best noise cancelling headphones under 200,2,13165.9,200,True,7,100.0,
2026-09-12T22:52:16+00:00,scraperapi,shopping,standing desk under 400,1,5642.4,200,True,7,100.0,
2026-09-12T22:52:18+00:00,scraperapi,shopping,standing desk under 400,2,2574.1,200,True,8,100.0,
2026-09-12T22:52:39+00:00,scraperapi,shopping,best running shoes for flat feet,1,20193.6,200,True,9,100.0,
2026-09-12T22:52:42+00:00,scraperapi,shopping,best running shoes for flat feet,2,3145.1,200,True,9,100.0,
2026-09-12T22:52:45+00:00,scraperapi,shopping,macbook air m3 price,1,2741.4,200,True,7,100.0,
2026-09-12T22:52:48+00:00,scraperapi,shopping,macbook air m3 price,2,2338.7,200,True,7,100.0,
